time;V(/V2in);V(/Vl);
9.54715e-05;-4.9626;-2.17632;
9.57855e-05;-4.941;-2.08776;
9.60995e-05;-4.91452;-1.99715;
9.64135e-05;-4.88319;-1.90457;
9.67275e-05;-4.84705;-1.81011;
9.70415e-05;-4.80613;-1.71386;
9.73555e-05;-4.76048;-1.61593;
9.76695e-05;-4.71013;-1.5164;
9.79835e-05;-4.65513;-1.41538;
9.82975e-05;-4.59555;-1.31296;
9.86115e-05;-4.53144;-1.20925;
9.89255e-05;-4.46286;-1.10435;
9.92395e-05;-4.38988;-0.998354;
9.95535e-05;-4.31257;-0.891377;
9.98675e-05;-4.23101;-0.783521;
0.000100182;-4.14528;-0.674893;
0.000100496;-4.05546;-0.565599;
0.00010081;-3.96164;-0.455747;
0.000101124;-3.86392;-0.345446;
0.000101438;-3.76239;-0.234805;
0.000101752;-3.65715;-0.123932;
0.000102066;-3.5483;-0.0129372;
0.00010238;-3.43596;0.0980705;
0.000102694;-3.32023;0.208982;
0.000103008;-3.20122;0.319687;
0.000103322;-3.07906;0.430077;
0.000103636;-2.95386;0.540042;
0.00010395;-2.82575;0.649476;
0.000104264;-2.69486;0.758269;
0.000104578;-2.56131;0.866315;
0.000104892;-2.42523;0.973506;
0.000105206;-2.28676;1.07974;
0.00010552;-2.14604;1.18491;
0.000105834;-2.0032;1.2889;
0.000106148;-1.85839;1.39163;
0.000106462;-1.71174;1.49299;
0.000106776;-1.56341;1.59287;
0.00010709;-1.41354;1.69119;
0.000107404;-1.26227;1.78783;
0.000107718;-1.10976;1.88272;
0.000108032;-0.956153;1.97575;
0.000108346;-0.801604;2.06683;
0.00010866;-0.646266;2.15587;
0.000108974;-0.490289;2.24279;
0.000109288;-0.33383;2.32749;
0.000109602;-0.177041;2.4099;
0.000109916;-0.0200783;2.48994;
0.00011023;0.136905;2.56752;
0.000110544;0.293752;2.64257;
0.000110858;0.450311;2.71501;
0.000111172;0.606425;2.78478;
0.000111486;0.761942;2.8518;
0.0001118;0.916707;2.91601;
0.000112114;1.07057;2.97735;
0.000112428;1.22337;3.03575;
0.000112742;1.37497;3.09116;
0.000113056;1.52522;3.14352;
0.00011337;1.67396;3.19278;
0.000113684;1.82105;3.23889;
0.000113998;1.96635;3.28181;
0.000114312;2.1097;3.3215;
0.000114626;2.25098;3.35791;
0.00011494;2.39004;3.39101;
0.000115254;2.52674;3.42076;
0.000115568;2.66095;3.44715;
0.000115882;2.79253;3.47013;
0.000116196;2.92137;3.4897;
0.00011651;3.04732;3.50582;
0.000116824;3.17027;3.51849;
0.000117138;3.29009;3.52769;
0.000117452;3.40667;3.53341;
0.000117766;3.5199;3.53564;
0.00011808;3.62965;3.5344;
0.000118394;3.73582;3.52966;
0.000118708;3.83831;3.52145;
0.000119022;3.93701;3.50977;
0.000119336;4.03184;3.49462;
0.00011965;4.12269;3.47603;
0.000119964;4.20947;3.45402;
0.000120278;4.29211;3.42859;
0.000120592;4.37051;3.39979;
0.000120906;4.44461;3.36764;
0.00012122;4.51432;3.33216;
0.000121534;4.57958;3.2934;
0.000121848;4.64033;3.2514;
0.000122162;4.6965;3.20619;
0.000122476;4.74804;3.15781;
0.00012279;4.7949;3.10633;
0.000123104;4.83704;3.05178;
0.000123418;4.8744;2.99422;
0.000123732;4.90696;2.93371;
0.000124046;4.93469;2.87031;
0.00012436;4.95754;2.80408;
0.000124674;4.97551;2.73509;
0.000124988;4.98858;2.66339;
0.000125302;4.99672;2.58908;
0.000125616;4.99994;2.51221;
0.00012593;4.99823;2.43286;
0.000126244;4.9916;2.35111;
0.000126558;4.98004;2.26705;
0.000126872;4.96357;2.18075;
0.000127186;4.94221;2.0923;
0.0001275;4.91597;2.00179;
0.000127814;4.88489;1.90931;
0.000128128;4.849;1.81494;
0.000128442;4.80832;1.71878;
0.000128756;4.7629;1.62093;
0.00012907;4.71279;1.52148;
0.000129384;4.65803;1.42054;
0.000129698;4.59868;1.31819;
0.000130012;4.5348;1.21454;
0.000130326;4.46644;1.10969;
0.00013064;4.39368;1.00375;
0.000130954;4.31659;0.896821;
0.000131268;4.23524;0.789007;
0.000131582;4.14972;0.680415;
0.000131896;4.06011;0.571153;
0.00013221;3.96649;0.461327;
0.000132524;3.86897;0.351046;
0.000132838;3.76762;0.24042;
0.000133152;3.66257;0.129556;
0.000133466;3.5539;0.0185643;
0.00013378;3.44173;-0.0924454;
0.000134094;3.32617;-0.203364;
0.000134408;3.20733;-0.314082;
0.000134722;3.08532;-0.424491;
0.000135036;2.96028;-0.534481;
0.00013535;2.83231;-0.643944;
0.000135664;2.70156;-0.752772;
0.000135978;2.56814;-0.860858;
0.000136292;2.43219;-0.968095;
0.000136606;2.29384;-1.07438;
0.00013692;2.15323;-1.1796;
0.000137234;2.01049;-1.28366;
0.000137548;1.86578;-1.38646;
0.000137862;1.71922;-1.48789;
0.000138176;1.57097;-1.58785;
0.00013849;1.42117;-1.68624;
0.000138804;1.26997;-1.78298;
0.000139118;1.11752;-1.87795;
0.000139432;0.963963;-1.97108;
0.000139746;0.809458;-2.06226;
0.00014006;0.654156;-2.15141;
0.000140374;0.498208;-2.23843;
0.000140688;0.341769;-2.32325;
0.000141002;0.184994;-2.40578;
0.000141316;0.0280359;-2.48594;
0.00014163;-0.12895;-2.56365;
